interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,日期
57,14,143.66642123287673,160.76142123287673,308.63142123287673,34.826421232876726,17.095000000000002,VOLATILE,PV_VOLATILE,HIGH,19041.390000000007,2025-12-16
58,14,143.66642123287673,160.76142123287673,308.63142123287673,34.826421232876726,17.095000000000002,VOLATILE,PV_VOLATILE,HIGH,20609.880000000005,2025-12-16
59,14,143.66642123287673,160.76142123287673,308.63142123287673,34.826421232876726,17.095000000000002,VOLATILE,PV_VOLATILE,HIGH,21920.91999999999,2025-12-16
60,14,143.66642123287673,160.76142123287673,308.63142123287673,34.826421232876726,17.095000000000002,VOLATILE,PV_VOLATILE,HIGH,23014.709999999992,2025-12-16
61,15,218.2028280821918,247.37282808219175,330.8428280821918,133.7328280821918,29.169999999999973,VOLATILE,PV_VOLATILE,HIGH,24310.14,2025-12-16
62,15,218.2028280821918,247.37282808219175,330.8428280821918,133.7328280821918,29.169999999999973,VOLATILE,PV_VOLATILE,HIGH,25858.77999999999,2025-12-16
63,15,218.2028280821918,247.37282808219175,330.8428280821918,133.7328280821918,29.169999999999973,VOLATILE,PV_VOLATILE,HIGH,26907.009999999995,2025-12-16
64,15,218.2028280821918,247.37282808219175,330.8428280821918,133.7328280821918,29.169999999999973,VOLATILE,PV_VOLATILE,HIGH,27779.850000000006,2025-12-16
65,16,331.83311575342464,334.75311575342465,363.6031157534246,290.02311575342463,2.920000000000016,STABLE,PV_VOLATILE,HIGH,27935.850000000006,2025-12-16
66,16,331.83311575342464,334.75311575342465,363.6031157534246,290.02311575342463,2.920000000000016,STABLE,PV_VOLATILE,HIGH,28504.680000000008,2025-12-16
67,16,331.83311575342464,334.75311575342465,363.6031157534246,290.02311575342463,2.920000000000016,STABLE,PV_VOLATILE,HIGH,29450.39,2025-12-16
68,16,331.83311575342464,334.75311575342465,363.6031157534246,290.02311575342463,2.920000000000016,STABLE,PV_VOLATILE,HIGH,29952.559999999983,2025-12-16
69,17,424.13182123287675,427.76182123287674,474.23482123287675,382.02782123287676,3.629999999999967,STABLE,PV_VOLATILE,MID,30312.119999999995,2025-12-16
70,17,424.13182123287675,427.76182123287674,474.23482123287675,382.02782123287676,3.629999999999967,STABLE,PV_VOLATILE,MID,29904.12000000001,2025-12-16
71,17,424.13182123287675,427.76182123287674,474.23482123287675,382.02782123287676,3.629999999999967,STABLE,PV_VOLATILE,MID,29858.199999999997,2025-12-16
72,17,424.13182123287675,427.76182123287674,474.23482123287675,382.02782123287676,3.629999999999967,STABLE,PV_VOLATILE,MID,29072.569999999992,2025-12-16
73,18,452.74909452054794,466.37909452054794,520.6340945205479,406.61409452054795,13.629999999999995,STABLE,PV_VOLATILE,LOW,27857.160000000003,2025-12-16
74,18,452.74909452054794,466.37909452054794,520.6340945205479,406.61409452054795,13.629999999999995,STABLE,PV_VOLATILE,LOW,26741.119999999995,2025-12-16
75,18,452.74909452054794,466.37909452054794,520.6340945205479,406.61409452054795,13.629999999999995,STABLE,PV_VOLATILE,LOW,25982.270000000004,2025-12-16
76,18,452.74909452054794,466.37909452054794,520.6340945205479,406.61409452054795,13.629999999999995,STABLE,PV_VOLATILE,LOW,25385.199999999997,2025-12-16
77,19,446.9464767123288,445.27647671232876,501.3264767123288,407.8764767123288,-1.670000000000016,STABLE,PV_VOLATILE,LOW,24998.08,2025-12-16
78,19,446.9464767123288,445.27647671232876,501.3264767123288,407.8764767123288,-1.670000000000016,STABLE,PV_VOLATILE,LOW,24532.11,2025-12-16
79,19,446.9464767123288,445.27647671232876,501.3264767123288,407.8764767123288,-1.670000000000016,STABLE,PV_VOLATILE,LOW,24335.059999999998,2025-12-16
80,19,446.9464767123288,445.27647671232876,501.3264767123288,407.8764767123288,-1.670000000000016,STABLE,PV_VOLATILE,LOW,23925.850000000006,2025-12-16
81,20,438.6563616438357,444.7513616438357,493.2163616438357,360.04136164383567,6.094999999999999,STABLE,PV_VOLATILE,LOW,23472.25,2025-12-16
82,20,438.6563616438357,444.7513616438357,493.2163616438357,360.04136164383567,6.094999999999999,STABLE,PV_VOLATILE,LOW,23256.53,2025-12-16
83,20,438.6563616438357,444.7513616438357,493.2163616438357,360.04136164383567,6.094999999999999,STABLE,PV_VOLATILE,LOW,23387.149999999994,2025-12-16
84,20,438.6563616438357,444.7513616438357,493.2163616438357,360.04136164383567,6.094999999999999,STABLE,PV_VOLATILE,LOW,23593.089999999997,2025-12-16
85,21,427.02028698630136,444.60028698630134,509.84028698630135,346.9302869863013,17.579999999999984,STABLE,PV_VOLATILE,LOW,23617.53,2025-12-16
86,21,427.02028698630136,444.60028698630134,509.84028698630135,346.9302869863013,17.579999999999984,STABLE,PV_VOLATILE,LOW,24367.809999999998,2025-12-16
87,21,427.02028698630136,444.60028698630134,509.84028698630135,346.9302869863013,17.579999999999984,STABLE,PV_VOLATILE,LOW,23970.83,2025-12-16
88,21,427.02028698630136,444.60028698630134,509.84028698630135,346.9302869863013,17.579999999999984,STABLE,PV_VOLATILE,LOW,23429.23999999999,2025-12-16
89,22,402.9225390410959,411.69753904109587,457.88253904109587,275.4375390410959,8.774999999999977,STABLE,PV_VOLATILE,LOW,22589.140000000007,2025-12-16
90,22,402.9225390410959,411.69753904109587,457.88253904109587,275.4375390410959,8.774999999999977,STABLE,PV_VOLATILE,LOW,21648.989999999998,2025-12-16
91,22,402.9225390410959,411.69753904109587,457.88253904109587,275.4375390410959,8.774999999999977,STABLE,PV_VOLATILE,LOW,21680.910000000003,2025-12-16
92,22,402.9225390410959,411.69753904109587,457.88253904109587,275.4375390410959,8.774999999999977,STABLE,PV_VOLATILE,LOW,21545.399999999994,2025-12-16
93,23,382.6711353424658,381.7961353424658,465.5841353424658,279.7011353424658,-0.875,VOLATILE,PV_VOLATILE,LOW,21817.270000000004,2025-12-16
94,23,382.6711353424658,381.7961353424658,465.5841353424658,279.7011353424658,-0.875,VOLATILE,PV_VOLATILE,LOW,22627.97,2025-12-16
95,23,382.6711353424658,381.7961353424658,465.5841353424658,279.7011353424658,-0.875,VOLATILE,PV_VOLATILE,LOW,21910.929999999993,2025-12-16
96,23,382.6711353424658,381.7961353424658,465.5841353424658,279.7011353424658,-0.875,VOLATILE,PV_VOLATILE,LOW,20667.290000000008,2025-12-16
